,Restaurant,Location,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time,City,Location1,Rating_bins,CusineCount
15,ID_6406,"Moulali, Kolkata","Biryani, Mughlai",100.0,50,3.6,353.0,53.0,30,Kolkata,Moulali,3-4,2
16,ID_2141,"Sector 1, Noida",Italian,100.0,50,0.0,0.0,0.0,30,Noida,Sector 1,NoRating,1
17,ID_3355,"Dockyard Road, Mumbai CST Area","Chinese, North Indian, South Indian, Fast Food",200.0,50,3.7,139.0,47.0,30,Mumbai,"Dockyard Road, Mumbai CST Area",3-4,4
18,ID_5262,Pune University,"Kerala, Bihari",150.0,50,0.0,0.0,0.0,30,Pune,Pune University,NoRating,2
19,ID_8148,"Gora Bazar, Rajbari, North Dumdum, Kolkata",South Indian,100.0,50,3.7,159.0,46.0,30,Kolkata,"Gora Bazar, Rajbari, North Dumdum",3-4,1
20,ID_1681,"D-Block, Sector 63, Noida","Chinese, North Indian, Rolls, Momos",200.0,99,2.8,67.0,23.0,45,Noida,"D-Block, Sector 63",2-3,4
21,ID_3994,"Sector 14, Noida","North Indian, Rolls",150.0,50,3.9,387.0,160.0,45,Noida,Sector 14,3-4,2
22,ID_4012,"D-Block, Sector 63, Noida","North Indian, Chinese",250.0,50,3.0,5.0,2.0,30,Noida,"D-Block, Sector 63",2-3,2
23,ID_240,"D-Block, Sector 63, Noida","Biryani, North Indian",200.0,99,3.7,138.0,26.0,65,Noida,"D-Block, Sector 63",3-4,2
24,ID_4751,"Sector 3, Marathalli","North Indian, Chinese, Fast Food",150.0,50,3.2,4.0,1.0,30,Bangalore,"Sector 3, Marathalli",3-4,3
25,ID_4944,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Ice Cream",100.0,50,0.0,0.0,0.0,45,Bangalore,"Mico Layout, Stage 2, BTM Layout",NoRating,2
26,ID_7029,"D-Block, Sector 63, Noida","North Indian, Chinese",100.0,99,3.7,110.0,38.0,45,Noida,"D-Block, Sector 63",3-4,2
27,ID_6769,Mumbai Central,"Fast Food, South Indian, Street Food",150.0,50,3.2,15.0,9.0,45,Mumbai,Mumbai Central,3-4,3
28,ID_5547,"Dockyard Road, Mumbai CST Area",North Indian,150.0,50,3.3,44.0,19.0,45,Mumbai,"Dockyard Road, Mumbai CST Area",3-4,1
29,ID_1957,"Sector 1, Noida","North Indian, Chinese",200.0,50,3.8,18.0,18.0,30,Noida,Sector 1,3-4,2
30,ID_425,"Gora Bazar, Rajbari, North Dumdum, Kolkata",North Indian,150.0,50,3.2,18.0,7.0,30,Kolkata,"Gora Bazar, Rajbari, North Dumdum",3-4,1
31,ID_4965,"D-Block, Sector 63, Noida","Cafe, Mexican, Japanese, Italian, Chinese",400.0,50,4.0,189.0,132.0,30,Noida,"D-Block, Sector 63",3-4,5
32,ID_5192,"FTI College, Law College Road, Pune","Bakery, Fast Food, Rolls, Beverages",200.0,50,3.1,279.0,74.0,45,Pune,"FTI College, Law College Road",3-4,4
33,ID_6079,"D-Block, Sector 63, Noida","North Indian, Chinese",350.0,99,3.3,22.0,13.0,45,Noida,"D-Block, Sector 63",3-4,2
34,ID_3069,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100.0,50,4.0,581.0,111.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",3-4,1
35,ID_1160,"Sector 1, Noida","Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600.0,50,4.7,914.0,499.0,45,Noida,Sector 1,4-5,8
36,ID_4494,Pune University,Street Food,100.0,50,3.4,23.0,7.0,30,Pune,Pune University,3-4,1
37,ID_2139,"Moulali, Kolkata","Fast Food, South Indian",100.0,50,3.6,105.0,53.0,30,Kolkata,Moulali,3-4,2
38,ID_332,Delhi University-GTB Nagar,"Pizza, Fast Food",200.0,50,3.5,305.0,29.0,45,Delhi,Delhi University-GTB Nagar,3-4,2
39,ID_1209,"Tiretti, Kolkata","Cafe, Desserts",300.0,50,3.6,54.0,34.0,30,Kolkata,Tiretti,3-4,2
40,ID_5285,"Sandhurst Road, Mumbai CST Area","Mughlai, North Indian",200.0,50,4.0,1408.0,851.0,45,Mumbai,"Sandhurst Road, Mumbai CST Area",3-4,2
41,ID_7544,Mumbai Central,"Desserts, Beverages",150.0,50,4.1,806.0,513.0,45,Mumbai,Mumbai Central,4-5,2
42,ID_7299,"MG Road, Pune","Bakery, Desserts, Beverages",150.0,50,3.7,41.0,22.0,30,Pune,MG Road,3-4,3
43,ID_4154,"Hyderabad Public School, Begumpet",South Indian,100.0,50,3.7,100.0,27.0,45,Hyderabad,"Hyderabad Public School, Begumpet",3-4,1
44,ID_3869,"Tiretti, Kolkata",North Indian,200.0,50,3.6,106.0,32.0,30,Kolkata,Tiretti,3-4,1
45,ID_6868,Majestic,"North Indian, Street Food",200.0,50,3.8,37.0,25.0,30,Bangalore,Majestic,3-4,2
46,ID_1641,"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,50,3.4,45.0,37.0,30,Noida,"D-Block, Sector 63",3-4,2
47,ID_2809,"Mico Layout, Stage 2, BTM Layout,Bangalore",Chinese,200.0,50,0.0,0.0,0.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",NoRating,1
48,ID_5022,Delhi University-GTB Nagar,"Chinese, Fast Food",200.0,99,3.5,63.0,8.0,45,Delhi,Delhi University-GTB Nagar,3-4,2
49,ID_4866,Delhi University-GTB Nagar,Lucknowi,200.0,50,0.0,0.0,0.0,30,Delhi,Delhi University-GTB Nagar,NoRating,1
50,ID_6857,"FTI College, Law College Road, Pune","South Indian, North Indian",150.0,50,3.1,253.0,35.0,30,Pune,"FTI College, Law College Road",3-4,2
51,ID_3429,"FTI College, Law College Road, Pune","Biryani, Chinese",150.0,50,3.2,4.0,4.0,30,Pune,"FTI College, Law College Road",3-4,2
52,ID_1521,"Sandhurst Road, Mumbai CST Area","Tea, Fast Food",100.0,50,3.3,12.0,6.0,30,Mumbai,"Sandhurst Road, Mumbai CST Area",3-4,2
53,ID_5090,"MG Road, Pune","Fast Food, Italian, Beverages",200.0,50,3.9,327.0,173.0,45,Pune,MG Road,3-4,3
54,ID_348,"Sector 1, Noida","North Indian, Beverages",250.0,50,3.4,49.0,36.0,30,Noida,Sector 1,3-4,2
55,ID_1443,"Chandni Chowk, Kolkata",Fast Food,100.0,50,3.3,11.0,1.0,30,Kolkata,Chandni Chowk,3-4,1
56,ID_8281,"MG Road, Pune","Street Food, Fast Food, North Indian",150.0,50,2.9,8.0,5.0,45,Pune,MG Road,2-3,3
57,ID_4562,Delhi University-GTB Nagar,Chinese,250.0,50,3.8,19.0,15.0,30,Delhi,Delhi University-GTB Nagar,3-4,1
58,ID_156,"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, Chinese",100.0,50,3.7,18.0,6.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,2
59,ID_5570,"Delhi Administration Flats, Timarpur","South Indian, Chinese, Street Food",100.0,50,3.1,7.0,2.0,30,Delhi,"Delhi Administration Flats, Timarpur",3-4,3
60,ID_8368,"MG Road, Pune","North Indian, Mangalorean",350.0,50,3.5,16.0,8.0,45,Pune,MG Road,3-4,2
61,ID_294,"Sector 1, Noida","Bakery, Desserts, Fast Food",100.0,50,0.0,0.0,0.0,30,Noida,Sector 1,NoRating,3
62,ID_6967,"Yerawada, Pune, Maharashtra","Cafe, European, Continental, Sandwich, Salad, Healthy Food",600.0,50,4.6,391.0,174.0,30,Mumbai,"Yerawada, Pune, Maharashtra",4-5,6
63,ID_2994,"Sector 3, Marathalli",Bengali,200.0,50,3.5,32.0,23.0,30,Bangalore,"Sector 3, Marathalli",3-4,1
64,ID_6369,"Sector 1, Noida","Bakery, Fast Food",200.0,50,3.3,39.0,11.0,30,Noida,Sector 1,3-4,2
65,ID_7768,"Sector 14, Noida",Fast Food,150.0,99,3.9,116.0,19.0,30,Noida,Sector 14,3-4,1
66,ID_134,"Dockyard Road, Mumbai CST Area",Desserts,100.0,50,3.4,22.0,9.0,45,Mumbai,"Dockyard Road, Mumbai CST Area",3-4,1
67,ID_8414,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages, American",200.0,50,3.9,51.0,29.0,45,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,3
68,ID_2216,"Delhi High Court, India Gate","Chinese, Thai",150.0,50,3.2,9.0,1.0,30,Delhi,"Delhi High Court, India Gate",3-4,2
69,ID_2131,Mumbai Central,"Chinese, Fast Food, Mughlai",300.0,50,3.7,128.0,30.0,45,Mumbai,Mumbai Central,3-4,3
70,ID_8057,"Rmz Centennial, I Gate, Whitefield","Cafe, Continental, Fast Food",300.0,50,4.1,119.0,59.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",4-5,3
71,ID_3309,"D-Block, Sector 63, Noida","Chinese, Rolls",150.0,50,0.0,0.0,0.0,30,Noida,"D-Block, Sector 63",NoRating,2
72,ID_7722,"Sector 1, Noida","North Indian, Fast Food",200.0,50,3.4,26.0,16.0,30,Noida,Sector 1,3-4,2
73,ID_3117,"Moulali, Kolkata","Mishti, Fast Food, South Indian",100.0,50,4.0,381.0,89.0,65,Kolkata,Moulali,3-4,3
74,ID_6905,Majestic,"South Indian, North Indian, Chinese, Beverages",350.0,50,4.2,441.0,170.0,30,Bangalore,Majestic,4-5,4
75,ID_3087,"Chandni Chowk, Kolkata","Fast Food, Bengali",100.0,50,0.0,0.0,0.0,30,Kolkata,Chandni Chowk,NoRating,2
76,ID_207,"Delhi Administration Flats, Timarpur","Mithai, Street Food",100.0,50,3.7,62.0,10.0,30,Delhi,"Delhi Administration Flats, Timarpur",3-4,2
77,ID_5095,"Rmz Centennial, I Gate, Whitefield","Beverages, Desserts",100.0,50,3.6,7.0,4.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",3-4,2
78,ID_8233,Delhi University-GTB Nagar,Fast Food,100.0,50,3.6,90.0,31.0,30,Delhi,Delhi University-GTB Nagar,3-4,1
79,ID_6205,"Sector 14, Noida",Rolls,100.0,50,0.0,0.0,0.0,30,Noida,Sector 14,NoRating,1
80,ID_7753,"Sandhurst Road, Mumbai CST Area","European, Continental, North Indian, Desserts",750.0,50,4.3,3124.0,1660.0,45,Mumbai,"Sandhurst Road, Mumbai CST Area",4-5,4
81,ID_888,"D-Block, Sector 63, Noida","Biryani, Mughlai, North Indian",100.0,50,3.5,69.0,37.0,30,Noida,"D-Block, Sector 63",3-4,3
82,ID_164,"D-Block, Sector 63, Noida","North Indian, Mughlai",150.0,50,3.3,0.0,0.0,30,Noida,"D-Block, Sector 63",3-4,2
83,ID_2653,"Sector 14, Noida","North Indian, Chinese",200.0,50,3.9,385.0,71.0,30,Noida,Sector 14,3-4,2
84,ID_2818,"MG Road, Pune","North Indian, Chinese",150.0,99,2.8,96.0,41.0,45,Pune,MG Road,2-3,2
85,ID_7520,"Sector 1, Noida","North Indian, Chinese",200.0,50,0.0,0.0,0.0,45,Noida,Sector 1,NoRating,2
86,ID_4849,"MG Road, Pune","Chinese, Pizza, Fast Food",150.0,50,3.7,55.0,20.0,30,Pune,MG Road,3-4,3
87,ID_4179,"D-Block, Sector 63, Noida",North Indian,200.0,50,3.3,9.0,5.0,30,Noida,"D-Block, Sector 63",3-4,1
88,ID_5321,"Rmz Centennial, I Gate, Whitefield","Biryani, Hyderabadi, North Indian, Mughlai",100.0,50,2.6,0.0,0.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",2-3,4
89,ID_2376,"Chatta Bazaar, Malakpet, Hyderabad",South Indian,50.0,50,3.5,12.0,2.0,30,Hyderabad,"Chatta Bazaar, Malakpet",3-4,1
90,ID_3147,"Sandhurst Road, Mumbai CST Area","Momos, Fast Food",150.0,50,3.5,85.0,40.0,30,Mumbai,"Sandhurst Road, Mumbai CST Area",3-4,2
91,ID_6452,"Sector 63A,Gurgaon","Mithai, North Indian, South Indian, Chinese, Street Food",150.0,50,0.0,0.0,0.0,30,Gurgaon,Sector 63A,NoRating,5
92,ID_5076,"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian",100.0,50,3.7,27.0,5.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,2
93,ID_7738,"Rmz Centennial, I Gate, Whitefield","Continental, Beverages, Desserts",200.0,50,0.0,0.0,0.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",NoRating,3
94,ID_4942,Mumbai Central,"Fast Food, Ice Cream, Beverages",200.0,50,3.8,107.0,47.0,30,Mumbai,Mumbai Central,3-4,3
95,ID_3468,"D-Block, Sector 63, Noida",Fast Food,100.0,50,3.3,13.0,4.0,30,Noida,"D-Block, Sector 63",3-4,1
96,ID_3797,"Delhi High Court, India Gate",Fast Food,200.0,50,3.3,25.0,16.0,30,Delhi,"Delhi High Court, India Gate",3-4,1
97,ID_6224,"D-Block, Sector 63, Noida",Chinese,100.0,50,3.5,24.0,1.0,30,Noida,"D-Block, Sector 63",3-4,1
98,ID_1124,Delhi University-GTB Nagar,"Burger, Fast Food",100.0,50,0.0,0.0,0.0,30,Delhi,Delhi University-GTB Nagar,NoRating,2
99,ID_6637,Delhi Cantt.,Mughlai,150.0,50,2.8,7.0,3.0,30,Delhi,Delhi Cantt.,2-3,1
100,ID_8434,"Sector 3, Marathalli",Chinese,300.0,99,2.9,393.0,191.0,65,Bangalore,"Sector 3, Marathalli",2-3,1
101,ID_2962,Pune University,"North Indian, Rolls, Chinese",200.0,50,3.9,348.0,105.0,30,Pune,Pune University,3-4,3
102,ID_6091,"Mico Layout, Stage 2, BTM Layout,Bangalore","Andhra, Biryani",200.0,50,3.4,15.0,7.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,2
103,ID_2198,Majestic,Street Food,100.0,50,4.1,260.0,100.0,65,Bangalore,Majestic,4-5,1
104,ID_4654,"FTI College, Law College Road, Pune","Burger, Fast Food",200.0,50,3.9,326.0,106.0,30,Pune,"FTI College, Law College Road",3-4,2
105,ID_3712,"Dockyard Road, Mumbai CST Area",Street Food,100.0,50,3.5,18.0,8.0,30,Mumbai,"Dockyard Road, Mumbai CST Area",3-4,1
106,ID_1858,"Tejas Nagar Colony, Wadala West, Mumbai","North Indian, South Indian, Assamese, Maharashtrian, Bengali",200.0,50,0.0,0.0,0.0,30,Mumbai,"Tejas Nagar Colony, Wadala West",NoRating,5
107,ID_4395,"D-Block, Sector 63, Noida","North Indian, Lucknowi",200.0,50,2.8,150.0,89.0,45,Noida,"D-Block, Sector 63",2-3,2
108,ID_3814,"Delhi Administration Flats, Timarpur","Fast Food, Beverages",150.0,50,3.7,35.0,21.0,30,Delhi,"Delhi Administration Flats, Timarpur",3-4,2
109,ID_7226,"Sector 14, Noida",North Indian,100.0,50,3.0,7.0,1.0,30,Noida,Sector 14,2-3,1
110,ID_2915,"MG Road, Pune",North Indian,200.0,50,3.3,28.0,9.0,30,Pune,MG Road,3-4,1
111,ID_5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",Pizza,200.0,50,3.5,87.0,37.0,45,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,1
112,ID_1532,"Sector 14, Noida","Chinese, Fast Food",150.0,50,3.5,187.0,65.0,30,Noida,Sector 14,3-4,2
113,ID_3539,"FTI College, Law College Road, Pune","Desserts, Ice Cream",100.0,50,2.6,28.0,13.0,30,Pune,"FTI College, Law College Road",2-3,2
114,ID_2677,"MG Road, Pune","North Indian, Chinese, Street Food",150.0,50,2.8,0.0,0.0,30,Pune,MG Road,2-3,3
115,ID_1203,"FTI College, Law College Road, Pune",Fast Food,150.0,50,3.0,4.0,0.0,30,Pune,"FTI College, Law College Road",2-3,1
116,ID_4645,"Babarpur, New Delhi, Delhi","North Indian, Fast Food",300.0,50,3.5,15.0,7.0,30,Delhi,"Babarpur, New Delhi",3-4,2
117,ID_1210,"Rmz Centennial, I Gate, Whitefield","Beverages, Cafe, Sandwich, Fast Food, Desserts",250.0,50,3.8,118.0,69.0,45,Bangalore,"Rmz Centennial, I Gate, Whitefield",3-4,5
118,ID_7260,"Sector 3, Marathalli","North Indian, Mughlai",150.0,50,0.0,0.0,0.0,30,Bangalore,"Sector 3, Marathalli",NoRating,2
119,ID_1996,"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,150.0,50,0.0,0.0,0.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",NoRating,1
120,ID_7796,"Rmz Centennial, I Gate, Whitefield","Street Food, Beverages",100.0,50,0.0,0.0,0.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",NoRating,2
121,ID_1324,"D-Block, Sector 63, Noida",Bakery,200.0,50,3.1,12.0,2.0,30,Noida,"D-Block, Sector 63",3-4,1
122,ID_1885,Delhi Cantt.,North Indian,300.0,50,4.2,0.0,0.0,45,Delhi,Delhi Cantt.,4-5,1
123,ID_2885,"Nathan Road, Mangaldas Road, Pune","German, Italian, Cafe",450.0,50,4.3,4691.0,2547.0,45,Pune,"Nathan Road, Mangaldas Road",4-5,3
124,ID_3351,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Chinese, Arabian",350.0,50,3.1,89.0,10.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,4
125,ID_5223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100.0,50,3.9,70.0,9.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",3-4,1
126,ID_2093,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai",150.0,50,3.1,9.0,2.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",3-4,2
127,ID_5969,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Mithai,50.0,50,2.8,11.0,2.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",2-3,1
128,ID_4654,"Mico Layout, Stage 2, BTM Layout,Bangalore","Burger, Fast Food",200.0,50,3.8,349.0,159.0,45,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,2
129,ID_8146,"MG Road, Pune","Finger Food, North Indian",300.0,50,3.0,6.0,1.0,30,Pune,MG Road,2-3,2
130,ID_7674,"D-Block, Sector 63, Noida","North Indian, Chinese",250.0,99,4.5,143.0,110.0,65,Noida,"D-Block, Sector 63",4-5,2
131,ID_7677,"D-Block, Sector 63, Noida",Bakery,150.0,50,3.2,7.0,3.0,30,Noida,"D-Block, Sector 63",3-4,1
132,ID_4484,"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",100.0,50,0.0,0.0,0.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",NoRating,2
133,ID_669,"Delhi High Court, India Gate","North Indian, South Indian, Fast Food, Beverages",150.0,50,3.6,81.0,42.0,30,Delhi,"Delhi High Court, India Gate",3-4,4
134,ID_4064,Mumbai Central,Street Food,50.0,50,3.7,63.0,36.0,45,Mumbai,Mumbai Central,3-4,1
135,ID_1181,"Sector 1, Noida","Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200.0,50,3.4,417.0,181.0,45,Noida,Sector 1,3-4,8
136,ID_4609,Mumbai Central,"Street Food, Fast Food",150.0,50,3.4,20.0,16.0,30,Mumbai,Mumbai Central,3-4,2
137,ID_5401,"D-Block, Sector 63, Noida",Chinese,150.0,50,4.2,124.0,109.0,30,Noida,"D-Block, Sector 63",4-5,1
138,ID_1215,Pune University,"Fast Food, Street Food, Momos",100.0,50,3.3,12.0,1.0,30,Pune,Pune University,3-4,3
139,ID_1773,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food",200.0,50,2.9,47.0,10.0,45,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",2-3,2
140,ID_1452,"Rmz Centennial, I Gate, Whitefield","Street Food, Fast Food",100.0,50,4.0,242.0,179.0,65,Bangalore,"Rmz Centennial, I Gate, Whitefield",3-4,2
141,ID_5440,"Yerawada, Pune, Maharashtra","Italian, Beverages",300.0,50,3.5,12.0,5.0,30,Mumbai,"Yerawada, Pune, Maharashtra",3-4,2
142,ID_553,"Sector 1, Noida",Mughlai,150.0,50,3.4,9.0,2.0,30,Noida,Sector 1,3-4,1
143,ID_622,"FTI College, Law College Road, Pune",Fast Food,100.0,50,0.0,0.0,0.0,30,Pune,"FTI College, Law College Road",NoRating,1
144,ID_6537,"D-Block, Sector 63, Noida","Biryani, North Indian, Mughlai, Kebab, Rolls",250.0,99,4.7,706.0,490.0,30,Noida,"D-Block, Sector 63",4-5,5
145,ID_6951,"Panjetan Colony, Malakpet, Hyderabad",South Indian,50.0,50,4.0,109.0,28.0,30,Hyderabad,"Panjetan Colony, Malakpet",3-4,1
146,ID_8413,Pune University,Desserts,150.0,50,4.4,584.0,343.0,45,Pune,Pune University,4-5,1
147,ID_5237,"Delhi Administration Flats, Timarpur","Fast Food, Rolls, Beverages",150.0,50,3.6,37.0,16.0,30,Delhi,"Delhi Administration Flats, Timarpur",3-4,3
148,ID_1005,Delhi University-GTB Nagar,"Street Food, Fast Food",150.0,50,4.3,253.0,118.0,30,Delhi,Delhi University-GTB Nagar,4-5,2
149,ID_5181,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",150.0,50,3.4,123.0,37.0,30,Bangalore,"Mico Layout, Stage 2, BTM Layout",3-4,2
150,ID_1766,"Yerawada, Pune, Maharashtra","Chettinad, North Indian, Seafood",200.0,50,4.1,1665.0,690.0,30,Mumbai,"Yerawada, Pune, Maharashtra",4-5,3
151,ID_6145,Pune University,"Ice Cream, Fast Food",150.0,50,3.3,9.0,3.0,30,Pune,Pune University,3-4,2
152,ID_1972,"Delhi High Court, India Gate","Pizza, Burger, Fast Food, Desserts",200.0,50,3.9,191.0,72.0,45,Delhi,"Delhi High Court, India Gate",3-4,4
153,ID_8614,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Biryani, Mughlai",100.0,50,0.0,0.0,0.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",NoRating,2
154,ID_308,"Rmz Centennial, I Gate, Whitefield","Chinese, South Indian, North Indian",250.0,50,3.0,4.0,2.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",2-3,3
155,ID_4468,"Sector 1, Noida",South Indian,150.0,50,3.5,40.0,6.0,30,Noida,Sector 1,3-4,1
156,ID_7468,"Yerawada, Pune, Maharashtra","North Indian, Street Food, Desserts",150.0,50,4.0,696.0,296.0,45,Mumbai,"Yerawada, Pune, Maharashtra",3-4,3
157,ID_7299,Mumbai Central,"Bakery, Desserts",150.0,50,3.8,72.0,33.0,45,Mumbai,Mumbai Central,3-4,2
158,ID_4827,"Sector 63A,Gurgaon","Chinese, Fast Food, North Indian, Momos",200.0,99,4.0,334.0,164.0,45,Gurgaon,Sector 63A,3-4,4
159,ID_8391,"Sector 1, Noida","Cafe, Desserts",200.0,50,0.0,0.0,0.0,30,Noida,Sector 1,NoRating,2
160,ID_8049,"Sector 1, Noida","North Indian, Mughlai, Momos",250.0,50,3.8,173.0,29.0,45,Noida,Sector 1,3-4,3
161,ID_1171,Mumbai Central,Juices,100.0,50,3.1,5.0,2.0,30,Mumbai,Mumbai Central,3-4,1
162,ID_4137,"Moulali, Kolkata","Desserts, Beverages",200.0,50,4.1,62.0,50.0,30,Kolkata,Moulali,4-5,2
163,ID_8129,"Tiretti, Kolkata","Chinese, North Indian",100.0,50,3.8,85.0,27.0,30,Kolkata,Tiretti,3-4,2
164,ID_7583,"Raja Bazar, Kolkata","Sandwich, Italian, Desserts",250.0,50,3.8,224.0,129.0,45,Kolkata,Raja Bazar,3-4,3
165,ID_5352,"D-Block, Sector 63, Noida",Mughlai,200.0,50,0.0,0.0,0.0,30,Noida,"D-Block, Sector 63",NoRating,1
166,ID_6908,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100.0,50,0.0,0.0,0.0,30,Gurgaon,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",NoRating,1
167,ID_1316,"Delhi High Court, India Gate","Cafe, Italian",600.0,50,4.2,2653.0,1581.0,65,Delhi,"Delhi High Court, India Gate",4-5,2
168,ID_3332,"Yerawada, Pune, Maharashtra","North Indian, Chinese",150.0,50,0.0,0.0,0.0,30,Mumbai,"Yerawada, Pune, Maharashtra",NoRating,2
169,ID_7412,Delhi Cantt.,"North Indian, Chinese, Rolls",150.0,50,4.8,326.0,234.0,30,Delhi,Delhi Cantt.,4-5,3
170,ID_8503,"Yerawada, Pune, Maharashtra","Bengali, Fast Food",300.0,50,3.5,90.0,45.0,45,Mumbai,"Yerawada, Pune, Maharashtra",3-4,2
171,ID_8382,"FTI College, Law College Road, Pune","North Indian, Street Food",200.0,50,3.9,175.0,59.0,45,Pune,"FTI College, Law College Road",3-4,2
172,ID_5921,"FTI College, Law College Road, Pune",North Indian,150.0,50,3.1,4.0,0.0,30,Pune,"FTI College, Law College Road",3-4,1
