Restaurant,Count,City,Average_Cost,Rating,Votes,Reviews
ID_1043,1,1,150.0,3.3,7.0,2.0
ID_1044,1,1,200.0,4.1,2465.0,860.0
ID_1046,2,1,75.0,3.9,121.5,43.5
ID_1047,1,1,100.0,3.2,8.0,5.0
ID_1048,1,1,200.0,0.0,0.0,0.0
ID_1049,1,1,250.0,3.8,154.0,95.0
ID_105,3,1,100.0,3.5,23.0,9.0
ID_1050,1,1,150.0,3.1,4.0,2.0
ID_1051,2,1,150.0,3.5,34.0,18.0
ID_1052,3,2,200.0,3.4,15.0,2.0
ID_1053,1,1,150.0,3.9,241.0,124.0
ID_1054,1,1,150.0,3.2,52.0,19.0
ID_1055,1,1,100.0,4.0,124.0,86.0
ID_1056,2,1,150.0,3.9,251.0,105.0
ID_1057,1,1,100.0,0.0,0.0,0.0
ID_1058,1,1,150.0,3.3,21.0,10.0
ID_1059,1,1,100.0,0.0,0.0,0.0
ID_1061,1,1,200.0,0.0,0.0,0.0
ID_1062,1,1,150.0,0.0,0.0,0.0
ID_1063,1,1,200.0,4.2,45.0,13.0
ID_1064,2,1,800.0,4.7,9054.0,6504.0
ID_1065,1,1,800.0,4.3,1201.0,626.0
ID_1067,1,1,300.0,2.9,69.0,29.0
ID_1068,1,1,700.0,4.3,4528.0,2171.0
ID_1069,1,1,300.0,2.9,61.0,26.0
ID_107,1,1,100.0,0.0,0.0,0.0
ID_1070,1,1,250.0,3.7,73.0,34.0
ID_1071,2,1,200.0,3.5,551.0,75.0
ID_1072,1,1,150.0,3.6,44.0,20.0
ID_1073,2,1,150.0,3.4,44.0,16.0
ID_1074,7,1,142.86,3.54,5.86,0.86
ID_1076,1,1,650.0,3.9,123.0,72.0
ID_1077,1,1,100.0,0.0,0.0,0.0
ID_1078,3,1,250.0,4.27,521.67,292.67
ID_1079,1,1,500.0,4.1,643.0,435.0
ID_108,1,1,100.0,4.0,126.0,69.0
ID_1080,1,1,200.0,4.0,280.0,126.0
ID_1081,1,1,150.0,3.9,640.0,174.0
ID_1082,1,1,300.0,3.7,90.0,24.0
ID_1083,1,1,200.0,0.0,0.0,0.0
ID_1084,1,1,100.0,2.8,8.0,2.0
ID_1085,1,1,150.0,3.7,44.0,29.0
ID_1086,1,1,100.0,3.5,31.0,23.0
ID_1088,1,1,150.0,4.1,58.0,32.0
ID_1089,1,1,100.0,3.9,185.0,110.0
ID_109,1,1,100.0,3.6,58.0,25.0
ID_1090,1,1,200.0,3.6,8.0,2.0
ID_1091,1,1,300.0,4.1,116.0,71.0
ID_1092,2,1,200.0,3.3,68.0,35.0
ID_1093,1,1,150.0,3.5,53.0,35.0
ID_1094,1,1,150.0,3.1,5.0,0.0
ID_1095,1,1,350.0,3.8,166.0,97.0
ID_1096,1,1,150.0,0.0,0.0,0.0
ID_1098,3,1,100.0,2.87,333.0,170.67
ID_1099,1,1,150.0,0.0,0.0,0.0
ID_11,2,1,900.0,4.2,1882.0,848.0
ID_110,1,1,150.0,3.6,14.0,7.0
ID_1100,3,3,216.67,3.83,572.33,169.67
ID_1101,1,1,150.0,3.9,60.0,31.0
ID_1102,1,1,200.0,4.3,388.0,217.0
ID_1103,2,2,650.0,4.1,1033.0,485.0
ID_1104,2,1,150.0,3.25,6.0,0.5
ID_1105,1,1,200.0,4.4,74.0,54.0
ID_1106,2,2,150.0,3.4,195.0,124.0
ID_1107,1,1,250.0,4.2,631.0,306.0
ID_1108,1,1,200.0,0.0,0.0,0.0
ID_1109,1,1,100.0,3.0,5.0,1.0
ID_111,1,1,450.0,3.1,4.0,3.0
ID_1110,2,1,50.0,4.3,204.0,95.0
ID_1112,2,2,150.0,0.0,0.0,0.0
ID_1114,1,1,300.0,4.1,2583.0,1213.0
ID_1115,1,1,100.0,3.3,21.0,9.0
ID_1116,2,1,200.0,0.0,0.0,0.0
ID_1118,1,1,150.0,3.5,28.0,18.0
ID_1119,1,1,100.0,0.0,0.0,0.0
ID_112,1,1,250.0,3.4,12.0,6.0
ID_1120,2,1,150.0,3.4,15.0,8.0
ID_1121,1,1,100.0,3.4,18.0,5.0
ID_1122,2,2,200.0,3.5,45.0,17.5
ID_1123,1,1,100.0,3.7,53.0,22.0
ID_1124,2,1,100.0,0.0,0.0,0.0
ID_1125,1,1,100.0,3.0,0.0,0.0
ID_1126,1,1,200.0,2.7,41.0,14.0
ID_1127,1,1,100.0,3.9,49.0,22.0
ID_1128,1,1,100.0,3.2,6.0,3.0
ID_1130,1,1,150.0,0.0,0.0,0.0
ID_1131,1,1,100.0,4.0,52.0,12.0
ID_1133,1,1,150.0,3.4,8.0,3.0
ID_1134,1,1,200.0,3.8,41.0,10.0
ID_1135,1,1,150.0,3.2,9.0,3.0
ID_1136,2,2,150.0,3.8,117.0,42.5
ID_1137,1,1,150.0,3.4,30.0,13.0
ID_1138,1,1,200.0,3.9,235.0,144.0
ID_1139,1,1,150.0,3.4,10.0,10.0
ID_114,1,1,200.0,3.6,95.0,22.0
ID_1140,16,7,200.0,3.86,687.25,245.56
ID_1142,1,1,150.0,3.4,27.0,2.0
ID_1143,1,1,150.0,3.6,162.0,98.0
ID_1144,5,3,140.0,3.88,188.6,81.4
ID_1145,1,1,100.0,4.2,227.0,126.0
ID_1146,7,3,150.0,3.89,642.57,323.14
ID_1148,1,1,150.0,3.5,23.0,6.0
ID_1149,1,1,150.0,3.3,15.0,6.0
ID_1150,1,1,200.0,2.9,9.0,3.0
ID_1152,1,1,150.0,3.8,24.0,3.0
ID_1153,2,1,150.0,3.6,374.0,87.0
ID_1155,1,1,200.0,3.0,7.0,2.0
ID_1156,8,5,150.0,0.36,0.62,0.38
ID_1157,1,1,200.0,3.3,15.0,9.0
ID_1158,1,1,200.0,4.1,321.0,146.0
ID_1159,1,1,200.0,3.7,80.0,23.0
ID_1160,2,1,600.0,4.7,914.0,499.0
ID_1162,1,1,350.0,4.0,75.0,58.0
ID_1163,1,1,400.0,4.1,582.0,294.0
ID_1164,2,1,350.0,4.3,418.0,220.0
ID_1165,1,1,500.0,4.2,671.0,301.0
ID_1166,2,1,300.0,4.7,81.0,74.0
ID_1167,1,1,50.0,4.4,391.0,124.0
ID_1168,1,1,550.0,4.1,897.0,565.0
ID_1169,1,1,600.0,3.7,610.0,228.0
ID_117,3,1,333.33,3.33,56.33,28.0
ID_1170,2,1,400.0,3.4,130.0,55.0
ID_1171,3,1,100.0,3.1,5.0,2.0
ID_1172,1,1,200.0,3.3,9.0,1.0
ID_1173,2,1,250.0,4.0,167.0,40.0
ID_1174,1,1,750.0,3.8,73.0,22.0
ID_1175,3,1,183.33,3.3,90.67,15.0
ID_1177,1,1,300.0,0.0,0.0,0.0
ID_1179,1,1,150.0,0.0,0.0,0.0
ID_118,1,1,250.0,3.9,140.0,83.0
ID_1180,2,1,150.0,3.7,66.0,20.0
ID_1181,2,1,200.0,3.4,417.0,181.0
ID_1182,3,1,250.0,3.7,52.0,33.0
ID_1183,2,1,150.0,3.3,103.0,31.0
ID_1184,1,1,250.0,3.6,22.0,8.0
ID_1185,2,1,100.0,3.4,16.0,2.0
ID_1189,2,1,100.0,3.3,11.0,2.0
ID_119,1,1,200.0,0.0,0.0,0.0
ID_1190,3,1,250.0,3.2,74.0,36.0
ID_1191,1,1,350.0,4.6,187.0,127.0
ID_1192,2,1,150.0,3.6,63.0,36.0
ID_1193,2,1,250.0,3.85,128.5,82.5
ID_1194,1,1,150.0,3.3,7.0,4.0
ID_1195,1,1,250.0,0.0,0.0,0.0
ID_1197,2,1,150.0,2.5,12.0,9.0
ID_1198,1,1,150.0,0.0,0.0,0.0
ID_1199,1,1,300.0,3.7,82.0,47.0
ID_12,2,1,100.0,3.45,41.0,9.0
ID_120,1,1,300.0,3.7,132.0,84.0
ID_1200,2,1,200.0,3.4,18.0,7.0
ID_1203,1,1,150.0,3.0,4.0,0.0
ID_1204,2,2,200.0,1.85,6.0,2.5
ID_1205,2,1,200.0,2.8,35.0,14.0
ID_1207,5,2,200.0,2.34,49.8,21.6
ID_1208,1,1,200.0,0.0,0.0,0.0
ID_1209,15,6,256.67,3.33,49.47,25.2
ID_121,1,1,150.0,0.0,0.0,0.0
ID_1210,1,1,250.0,3.8,118.0,69.0
ID_1212,1,1,150.0,3.5,24.0,11.0
ID_1213,2,2,450.0,4.0,1090.0,667.0
ID_1214,1,1,550.0,4.8,1367.0,1002.0
ID_1215,2,1,100.0,3.3,12.0,1.0
ID_1216,1,1,350.0,4.3,185.0,105.0
ID_1217,1,1,100.0,3.3,14.0,7.0
ID_1218,2,1,150.0,1.5,13.5,3.0
ID_1219,2,1,200.0,4.0,71.0,55.0
ID_122,1,1,200.0,3.4,21.0,8.0
ID_1220,1,1,250.0,3.6,17.0,10.0
ID_1222,2,1,100.0,3.35,9.0,2.0
ID_1223,1,1,250.0,3.8,164.0,109.0
ID_1224,1,1,250.0,4.2,926.0,577.0
ID_1225,1,1,200.0,3.5,57.0,35.0
ID_1226,2,1,200.0,4.2,569.0,291.0
ID_1227,1,1,800.0,4.1,579.0,371.0
ID_1228,1,1,150.0,4.1,114.0,74.0
ID_1230,1,1,250.0,3.9,115.0,68.0
ID_1231,1,1,100.0,3.5,9.0,4.0
ID_1232,2,1,125.0,1.8,72.5,40.5
ID_1233,2,1,200.0,4.0,109.0,53.0
ID_1234,1,1,200.0,3.6,72.0,22.0
ID_1235,1,1,150.0,0.0,0.0,0.0
ID_1236,1,1,200.0,3.3,14.0,8.0
ID_1237,1,1,100.0,3.3,27.0,6.0
ID_1238,3,1,150.0,3.3,12.0,6.0
ID_1239,1,1,200.0,3.5,40.0,22.0
ID_124,1,1,250.0,4.5,2244.0,1318.0
ID_1240,1,1,300.0,3.7,25.0,11.0
ID_1241,2,1,150.0,3.9,70.0,31.0
ID_1242,1,1,150.0,3.3,19.0,6.0
ID_1243,1,1,200.0,3.3,10.0,4.0
ID_1244,1,1,150.0,3.9,125.0,81.0
ID_1245,1,1,200.0,3.4,12.0,6.0
ID_1246,3,1,200.0,4.1,30.0,28.0
ID_1247,1,1,100.0,3.6,23.0,10.0
ID_1248,1,1,250.0,4.2,6975.0,2931.0
ID_1249,1,1,150.0,3.2,13.0,1.0
ID_125,1,1,150.0,3.3,18.0,5.0
ID_1250,2,1,150.0,3.6,144.0,68.0
ID_1251,1,1,200.0,0.0,0.0,0.0
ID_1252,1,1,200.0,4.2,211.0,139.0
ID_1253,1,1,150.0,3.5,21.0,13.0
ID_1254,2,2,200.0,3.3,12.0,9.0
ID_1255,1,1,100.0,3.4,9.0,1.0
ID_1256,1,1,100.0,3.3,9.0,1.0
ID_1257,1,1,200.0,3.4,4.0,1.0
ID_1258,1,1,200.0,3.9,229.0,152.0
ID_126,1,1,200.0,3.4,10.0,1.0
ID_1260,1,1,300.0,4.2,287.0,141.0
ID_1261,2,1,100.0,0.0,0.0,0.0
ID_1262,1,1,150.0,3.3,39.0,2.0
ID_1263,1,1,150.0,3.4,17.0,8.0
ID_1264,3,2,300.0,4.1,108.0,63.0
ID_1265,1,1,150.0,3.9,67.0,28.0
ID_1266,1,1,500.0,4.4,3633.0,2155.0
ID_1267,1,1,350.0,4.3,1132.0,734.0
ID_1268,1,1,150.0,0.0,0.0,0.0
ID_1269,1,1,100.0,3.9,199.0,73.0
ID_1270,2,1,150.0,0.0,0.0,0.0
ID_1271,1,1,300.0,4.3,283.0,138.0
ID_1272,1,1,150.0,3.6,91.0,35.0
ID_1273,1,1,200.0,3.1,6.0,0.0
ID_1274,1,1,400.0,3.9,501.0,259.0
ID_1275,1,1,300.0,3.8,1482.0,677.0
ID_1276,1,1,150.0,4.0,337.0,199.0
ID_1277,1,1,350.0,3.5,8.0,6.0
ID_1278,4,2,337.5,4.05,927.5,510.0
ID_1279,1,1,200.0,3.8,391.0,167.0
ID_128,1,1,200.0,3.1,5.0,1.0
ID_1281,1,1,200.0,3.6,195.0,90.0
ID_1282,1,1,300.0,0.0,0.0,0.0
ID_1283,1,1,200.0,2.8,8.0,6.0
ID_1284,1,1,300.0,3.9,203.0,98.0
ID_1285,1,1,150.0,3.8,166.0,54.0
ID_1286,1,1,150.0,3.5,22.0,10.0
ID_1287,1,1,200.0,3.4,18.0,6.0
ID_1288,1,1,200.0,3.6,202.0,98.0
ID_1289,2,1,150.0,2.9,4.0,3.0
ID_129,1,1,250.0,3.2,16.0,2.0
ID_1290,3,2,100.0,3.2,9.0,4.0
ID_1291,1,1,200.0,2.9,304.0,87.0
ID_1292,2,1,100.0,3.4,8.0,5.0
ID_1293,1,1,200.0,3.5,11.0,6.0
ID_1294,1,1,200.0,3.5,18.0,8.0
ID_1296,1,1,200.0,3.4,14.0,3.0
ID_1297,1,1,200.0,3.4,42.0,14.0
ID_1298,1,1,100.0,3.7,35.0,4.0
ID_1299,1,1,400.0,4.0,133.0,64.0
ID_13,2,1,650.0,4.1,3860.0,1962.0
ID_1300,1,1,200.0,0.0,0.0,0.0
ID_1301,1,1,200.0,3.6,36.0,22.0
ID_1302,2,2,225.0,1.5,3.0,1.0
ID_1303,1,1,450.0,3.8,780.0,412.0
ID_1304,2,1,200.0,0.0,0.0,0.0
ID_1305,1,1,200.0,2.9,7.0,3.0
ID_1306,1,1,100.0,0.0,0.0,0.0
ID_1308,1,1,250.0,3.8,338.0,183.0
ID_1309,3,1,200.0,3.5,63.0,34.0
ID_131,1,1,100.0,3.6,91.0,23.0
ID_1310,1,1,850.0,4.1,3353.0,1532.0
ID_1311,1,1,200.0,3.9,66.0,27.0
ID_1312,2,2,200.0,3.5,13.0,5.0
ID_1313,1,1,100.0,3.2,7.0,3.0
ID_1315,1,1,150.0,3.5,34.0,9.0
ID_1316,1,1,600.0,4.2,2653.0,1581.0
ID_1317,1,1,250.0,3.7,42.0,32.0
ID_1318,1,1,250.0,3.8,639.0,402.0
ID_1319,1,1,200.0,3.6,264.0,139.0
ID_132,1,1,100.0,3.1,5.0,2.0
ID_1321,1,1,450.0,3.7,756.0,387.0
ID_1322,2,1,100.0,3.4,14.0,12.0
ID_1324,4,2,200.0,2.62,22.5,7.5
ID_1325,1,1,100.0,2.9,59.0,9.0
ID_1327,1,1,200.0,3.8,978.0,360.0
ID_1328,1,1,150.0,0.0,0.0,0.0
ID_1329,3,1,150.0,4.33,201.0,114.67
ID_133,1,1,150.0,3.5,25.0,13.0
ID_1331,2,1,150.0,0.0,0.0,0.0
ID_1332,1,1,200.0,3.0,14.0,1.0
ID_1333,2,2,150.0,3.9,74.0,30.0
ID_1334,1,1,200.0,3.5,91.0,39.0
ID_1335,3,1,150.0,4.3,159.0,86.0
ID_1336,1,1,200.0,3.8,59.0,27.0
ID_1338,4,1,200.0,2.6,14.0,4.25
ID_1339,3,2,250.0,4.4,557.0,358.0
ID_134,3,1,100.0,3.4,22.0,9.0
ID_1340,1,1,150.0,0.0,0.0,0.0
ID_1341,1,1,150.0,3.2,8.0,3.0
ID_1342,3,1,150.0,2.8,177.0,81.0
ID_1343,2,1,150.0,0.0,0.0,0.0
ID_1344,1,1,100.0,3.3,10.0,6.0
ID_1345,1,1,150.0,2.9,4.0,5.0
ID_1346,2,1,150.0,3.65,67.0,37.0
ID_1347,1,1,150.0,3.7,60.0,22.0
ID_1348,1,1,200.0,4.4,214.0,169.0
ID_1349,2,1,200.0,3.2,48.0,15.0
ID_135,2,1,100.0,0.0,0.0,0.0
ID_1350,2,1,100.0,4.6,355.0,260.0
ID_1352,1,1,200.0,3.2,35.0,15.0
ID_1353,1,1,150.0,3.7,21.0,20.0
ID_1355,1,1,200.0,3.4,19.0,1.0
ID_1358,2,2,250.0,2.85,15.0,4.0
ID_1359,1,1,150.0,0.0,0.0,0.0
ID_136,2,1,150.0,3.2,6.0,4.0
ID_1360,1,1,150.0,3.5,17.0,5.0
ID_1361,1,1,200.0,0.0,0.0,0.0
ID_1362,1,1,200.0,3.0,23.0,6.0
ID_1363,1,1,150.0,4.1,63.0,23.0
ID_1364,1,1,200.0,4.3,269.0,111.0
ID_1365,2,1,200.0,3.2,5.0,2.0
ID_1366,1,1,150.0,3.9,81.0,26.0
ID_1367,1,1,200.0,0.0,0.0,0.0
ID_1368,2,2,200.0,4.2,242.0,94.0
ID_1370,1,1,100.0,2.8,27.0,7.0
ID_1371,2,1,200.0,3.4,57.0,13.0
ID_1372,1,1,150.0,0.0,0.0,0.0
ID_1373,1,1,200.0,0.0,0.0,0.0
ID_1374,1,1,150.0,3.7,28.0,20.0
ID_1375,4,2,100.0,2.72,46.5,26.75
ID_1376,1,1,150.0,3.6,19.0,3.0
ID_1377,2,1,150.0,4.3,65.0,33.0
ID_1378,1,1,200.0,3.5,12.0,3.0
ID_1379,1,1,100.0,4.2,271.0,127.0
ID_138,1,1,200.0,3.7,185.0,29.0
ID_1380,1,1,100.0,0.0,0.0,0.0
ID_1381,1,1,50.0,3.7,21.0,8.0
ID_1382,1,1,100.0,3.5,11.0,3.0
ID_1383,4,1,200.0,4.03,182.5,91.0
ID_1384,1,1,200.0,3.5,48.0,5.0
ID_1385,1,1,200.0,2.9,8.0,1.0
ID_1388,1,1,250.0,3.8,447.0,211.0
ID_1389,1,1,200.0,3.7,168.0,109.0
ID_139,1,1,250.0,2.8,82.0,23.0
ID_1390,1,1,250.0,4.4,96.0,77.0
ID_1391,1,1,250.0,3.9,91.0,55.0
ID_1392,1,1,300.0,3.4,7.0,3.0
ID_1393,1,1,250.0,3.4,22.0,3.0
ID_1394,1,1,900.0,4.6,307.0,227.0
ID_1396,1,1,150.0,3.3,7.0,3.0
ID_1397,1,1,200.0,4.1,112.0,57.0
ID_1398,1,1,50.0,0.0,0.0,0.0
ID_1399,3,1,50.0,0.0,0.0,0.0
ID_14,1,1,200.0,3.2,7.0,0.0
ID_140,1,1,100.0,2.7,46.0,26.0
ID_1400,2,2,50.0,3.6,24.0,10.0
ID_1401,2,1,750.0,4.4,3218.0,1429.0
ID_1402,1,1,350.0,3.4,205.0,97.0
ID_1403,1,1,150.0,0.0,0.0,0.0
ID_1404,2,2,200.0,4.0,43.0,32.0
ID_1405,1,1,350.0,3.7,282.0,50.0
ID_1406,1,1,400.0,2.8,16.0,6.0
ID_1407,4,2,400.0,3.92,305.5,154.75
ID_1408,1,1,250.0,3.6,73.0,42.0
ID_141,1,1,350.0,3.9,273.0,157.0
ID_1411,1,1,200.0,2.7,27.0,15.0
ID_1413,1,1,200.0,3.4,6.0,1.0
ID_1414,1,1,150.0,3.7,36.0,17.0
ID_1415,1,1,200.0,4.0,1155.0,845.0
ID_1416,1,1,150.0,3.3,12.0,4.0
ID_1417,1,1,200.0,3.8,115.0,71.0
ID_1419,1,1,150.0,3.5,49.0,27.0
ID_142,1,1,100.0,4.1,614.0,222.0
ID_1420,1,1,200.0,3.6,217.0,96.0
ID_1421,1,1,450.0,4.1,902.0,394.0
ID_1422,3,1,200.0,3.6,27.0,7.0
ID_1423,1,1,200.0,3.8,3270.0,463.0
ID_1424,1,1,800.0,4.0,1852.0,1130.0
ID_1425,1,1,150.0,3.6,24.0,7.0
ID_1426,1,1,200.0,3.4,96.0,61.0
ID_1427,2,1,200.0,3.7,101.0,29.0
ID_1428,1,1,100.0,0.0,0.0,0.0
ID_1429,1,1,250.0,3.4,40.0,7.0
ID_143,1,1,100.0,0.0,0.0,0.0
ID_1430,2,1,200.0,3.7,123.0,40.0
ID_1431,1,1,150.0,3.2,4.0,3.0
ID_1432,2,1,300.0,4.1,803.0,554.0
ID_1434,1,1,200.0,0.0,0.0,0.0
ID_1435,2,1,250.0,3.7,168.0,38.0
ID_1436,1,1,250.0,4.0,5187.0,3337.0
ID_1439,1,1,150.0,3.6,119.0,44.0
ID_1440,2,1,200.0,0.0,0.0,0.0
ID_1441,1,1,250.0,4.0,81.0,70.0
ID_1443,3,1,100.0,3.3,11.0,1.0
ID_1444,6,2,166.67,2.9,107.83,63.0
ID_1446,1,1,100.0,3.5,92.0,36.0
ID_1447,1,1,100.0,0.0,0.0,0.0
ID_1448,2,1,100.0,3.8,51.0,25.0
ID_1449,1,1,100.0,2.7,10.0,5.0
ID_145,1,1,800.0,4.8,475.0,296.0
ID_1450,1,1,100.0,3.3,9.0,6.0
ID_1451,2,1,100.0,0.0,0.0,0.0
ID_1452,1,1,100.0,4.0,242.0,179.0
ID_1453,2,1,100.0,4.15,128.0,48.0
ID_1454,6,3,200.0,4.03,376.0,275.67
ID_1455,2,1,200.0,0.0,0.0,0.0
ID_1456,1,1,100.0,3.6,68.0,19.0
ID_1457,1,1,200.0,3.0,4.0,1.0
ID_1458,2,1,200.0,3.5,182.0,32.5
ID_1459,2,1,100.0,3.2,9.0,6.0
ID_146,1,1,150.0,0.0,0.0,0.0
ID_1460,1,1,100.0,3.3,15.0,7.0
ID_1461,1,1,150.0,3.3,12.0,4.0
ID_1462,2,1,100.0,3.5,151.0,21.0
ID_1463,1,1,100.0,3.7,266.0,85.0
ID_1464,1,1,100.0,0.0,0.0,0.0
ID_1465,2,1,100.0,0.0,0.0,0.0
ID_1466,2,2,400.0,4.4,245.0,120.0
ID_1467,3,2,200.0,3.9,509.0,296.0
ID_1468,1,1,100.0,3.6,19.0,11.0
ID_1469,2,1,400.0,3.8,359.0,192.0
ID_147,2,2,400.0,4.3,296.0,187.0
ID_1470,2,1,150.0,1.8,4.5,1.5
ID_1471,1,1,100.0,3.6,9.0,4.0
ID_1472,1,1,150.0,3.1,8.0,2.0
ID_1475,1,1,200.0,4.3,534.0,318.0
ID_1476,1,1,100.0,2.7,5.0,0.0
ID_1477,1,1,150.0,3.1,35.0,19.0
ID_1478,1,1,100.0,3.1,6.0,0.0
ID_1479,1,1,100.0,3.9,36.0,23.0
ID_148,4,1,50.0,0.0,0.0,0.0
ID_1480,1,1,100.0,3.9,30.0,11.0
ID_1481,1,1,150.0,3.0,69.0,30.0
ID_1482,1,1,50.0,0.0,0.0,0.0
ID_1483,1,1,100.0,0.0,0.0,0.0
ID_1484,1,1,100.0,3.6,20.0,12.0
ID_1485,1,1,200.0,4.1,430.0,257.0
ID_1486,3,2,100.0,3.73,36.0,24.67
ID_1487,6,4,100.0,3.93,237.83,117.67
ID_1488,3,1,116.67,2.4,9.0,4.33
ID_1489,4,2,100.0,1.08,93.75,39.75
ID_149,4,1,150.0,3.8,287.0,26.0
ID_1490,1,1,150.0,3.2,11.0,2.0
ID_1492,1,1,100.0,3.1,5.0,1.0
ID_1493,1,1,100.0,0.0,0.0,0.0
ID_1494,2,1,200.0,0.0,0.0,0.0
ID_1495,1,1,100.0,3.3,12.0,2.0
ID_1496,1,1,150.0,3.5,22.0,6.0
ID_1497,4,2,200.0,3.85,1425.5,567.0
ID_1499,2,1,125.0,3.05,55.5,10.0
ID_15,2,1,100.0,3.2,7.0,1.0
ID_150,1,1,100.0,3.8,320.0,82.0
ID_1501,1,1,200.0,3.7,92.0,34.0
ID_1503,1,1,200.0,3.6,23.0,10.0
ID_1504,2,1,150.0,3.9,1032.0,334.0
ID_1505,1,1,150.0,3.5,36.0,5.0
ID_1506,1,1,200.0,3.9,129.0,30.0
ID_1507,1,1,250.0,0.0,0.0,0.0
ID_1508,2,1,150.0,3.8,130.0,40.0
ID_151,2,1,150.0,3.0,136.0,61.0
ID_1510,1,1,200.0,3.1,4.0,1.0
ID_1511,1,1,150.0,4.0,606.0,219.0
ID_1513,1,1,200.0,3.0,4.0,1.0
ID_1514,2,1,50.0,3.6,55.0,11.0
ID_1516,1,1,100.0,3.5,26.0,4.0
ID_1517,2,1,50.0,4.0,305.0,85.0
ID_1519,3,1,50.0,3.3,10.0,3.0
ID_152,4,1,262.5,1.68,229.25,51.0
ID_1520,2,1,150.0,2.8,10.0,4.0
ID_1521,2,1,100.0,3.3,12.0,6.0
ID_1522,4,1,100.0,3.22,16.5,5.25
ID_1523,1,1,100.0,3.1,16.0,6.0
ID_1524,1,1,400.0,4.1,2133.0,981.0
ID_1526,1,1,150.0,0.0,0.0,0.0
ID_1527,1,1,100.0,0.0,0.0,0.0
ID_1528,5,4,170.0,3.96,243.0,147.0
ID_1529,1,1,200.0,0.0,0.0,0.0
ID_153,1,1,250.0,3.3,6.0,0.0
ID_1530,1,1,200.0,3.3,11.0,7.0
ID_1531,2,1,200.0,3.8,149.0,74.0
ID_1532,2,1,150.0,3.5,187.0,65.0
ID_1533,1,1,150.0,4.2,195.0,124.0
ID_1535,1,1,100.0,0.0,0.0,0.0
ID_1537,2,1,100.0,3.9,36.0,18.0
ID_1538,1,1,150.0,4.0,110.0,75.0
ID_1539,1,1,150.0,3.4,174.0,64.0
ID_1540,1,1,200.0,3.1,20.0,11.0
ID_1541,1,1,150.0,3.6,80.0,35.0
ID_1543,1,1,100.0,3.4,29.0,23.0
ID_1544,3,1,100.0,3.3,9.0,4.0
ID_1545,1,1,100.0,3.3,13.0,3.0
ID_1546,1,1,200.0,3.8,117.0,34.0
ID_1547,2,1,100.0,0.0,0.0,0.0
ID_1548,1,1,150.0,4.0,393.0,168.0
ID_1549,1,1,200.0,3.3,10.0,4.0
ID_155,1,1,450.0,4.2,1626.0,1031.0
ID_1550,1,1,150.0,3.5,35.0,13.0
ID_1551,1,1,200.0,3.2,11.0,7.0
ID_1552,1,1,100.0,3.1,4.0,4.0
ID_1553,1,1,200.0,0.0,0.0,0.0
ID_1554,1,1,200.0,2.6,83.0,33.0
ID_1555,2,1,100.0,3.4,25.0,20.0
